issue_id,issue_type,severity,role_a,path_a,role_b,path_b,score,reason,suggested_action,target_path,decision,notes
near_duplicate_00001,near_duplicate_perceptual_hash,review,ood,ood/off_crop_or_root_disease/off_crop_or_root_disease__161.jpg,oe,oe/same_crop_leaf_negatives/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/157.jpg,4,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/same_crop_leaf_negatives/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/157.jpg,,
near_duplicate_00002,near_duplicate_perceptual_hash,review,ood,ood/off_crop_or_root_disease/off_crop_or_root_disease__161.jpg,oe,oe/same_crop_leaf_negatives/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/165.jpg,3,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/same_crop_leaf_negatives/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/165.jpg,,
near_duplicate_00003,near_duplicate_perceptual_hash,review,ood,ood/off_crop_or_root_disease/off_crop_or_root_disease__177.jpg,oe,oe/same_crop_leaf_negatives/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/173.jpg,5,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/same_crop_leaf_negatives/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/173.jpg,,
near_duplicate_00004,near_duplicate_perceptual_hash,review,ood,ood/off_crop_or_root_disease/off_crop_or_root_disease__177.jpg,oe,oe/same_crop_leaf_negatives/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/181.jpg,2,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/same_crop_leaf_negatives/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/181.jpg,,
near_duplicate_00005,near_duplicate_perceptual_hash,review,ood,ood/off_crop_or_root_disease/off_crop_or_root_disease__193.jpg,oe,oe/same_crop_leaf_negatives/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/197.jpg,3,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/same_crop_leaf_negatives/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/197.jpg,,
near_duplicate_00006,near_duplicate_perceptual_hash,review,ood,ood/off_crop_or_root_disease/off_crop_or_root_disease__257_1_.jpg,oe,oe/same_crop_leaf_negatives/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/261.jpg,4,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/same_crop_leaf_negatives/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/261.jpg,,
near_duplicate_00007,near_duplicate_perceptual_hash,review,ood,ood/off_crop_or_root_disease/off_crop_or_root_disease__273_1_.jpg,oe,oe/same_crop_leaf_negatives/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/277.jpg,5,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/same_crop_leaf_negatives/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/277.jpg,,
near_duplicate_00008,near_duplicate_perceptual_hash,review,ood,ood/off_crop_or_root_disease/off_crop_or_root_disease__65.jpg,oe,oe/same_crop_leaf_negatives/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/61.jpg,5,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/same_crop_leaf_negatives/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/61.jpg,,
semantic_slice_00060,semantic_slice_suspicion,review,oe,oe/same_crop_leaf_negatives/anthracnose_leaf/internet_20260506_bugwood_1235040_grape_anthracnose.jpg,,,same_crop_leaf_negatives,fruit adapter pool item has leaf-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_leaf_negatives/anthracnose_leaf/internet_20260506_bugwood_1235040_grape_anthracnose.jpg,,
semantic_slice_00061,semantic_slice_suspicion,review,oe,oe/same_crop_leaf_negatives/brown_spot_leaf/z_m_Outlier-20260503T132613Z-3-001/1.jpg,,,same_crop_leaf_negatives,fruit adapter pool item has leaf-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_leaf_negatives/brown_spot_leaf/z_m_Outlier-20260503T132613Z-3-001/1.jpg,,
semantic_slice_00062,semantic_slice_suspicion,review,oe,oe/same_crop_leaf_negatives/brown_spot_leaf/z_m_Outlier-20260503T132613Z-3-001/101.jpg,,,same_crop_leaf_negatives,fruit adapter pool item has leaf-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_leaf_negatives/brown_spot_leaf/z_m_Outlier-20260503T132613Z-3-001/101.jpg,,
semantic_slice_00063,semantic_slice_suspicion,review,oe,oe/same_crop_leaf_negatives/brown_spot_leaf/z_m_Outlier-20260503T132613Z-3-001/105.jpg,,,same_crop_leaf_negatives,fruit adapter pool item has leaf-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_leaf_negatives/brown_spot_leaf/z_m_Outlier-20260503T132613Z-3-001/105.jpg,,
semantic_slice_00064,semantic_slice_suspicion,review,oe,oe/same_crop_leaf_negatives/brown_spot_leaf/z_m_Outlier-20260503T132613Z-3-001/109.jpg,,,same_crop_leaf_negatives,fruit adapter pool item has leaf-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_leaf_negatives/brown_spot_leaf/z_m_Outlier-20260503T132613Z-3-001/109.jpg,,
semantic_slice_00065,semantic_slice_suspicion,review,oe,oe/same_crop_leaf_negatives/brown_spot_leaf/z_m_Outlier-20260503T132613Z-3-001/110.jpg,,,same_crop_leaf_negatives,fruit adapter pool item has leaf-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_leaf_negatives/brown_spot_leaf/z_m_Outlier-20260503T132613Z-3-001/110.jpg,,
semantic_slice_00066,semantic_slice_suspicion,review,oe,oe/same_crop_leaf_negatives/brown_spot_leaf/z_m_Outlier-20260503T132613Z-3-001/113.jpg,,,same_crop_leaf_negatives,fruit adapter pool item has leaf-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_leaf_negatives/brown_spot_leaf/z_m_Outlier-20260503T132613Z-3-001/113.jpg,,
semantic_slice_00067,semantic_slice_suspicion,review,oe,oe/same_crop_leaf_negatives/brown_spot_leaf/z_m_Outlier-20260503T132613Z-3-001/117.jpg,,,same_crop_leaf_negatives,fruit adapter pool item has leaf-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_leaf_negatives/brown_spot_leaf/z_m_Outlier-20260503T132613Z-3-001/117.jpg,,
semantic_slice_00068,semantic_slice_suspicion,review,oe,oe/same_crop_leaf_negatives/brown_spot_leaf/z_m_Outlier-20260503T132613Z-3-001/121.jpg,,,same_crop_leaf_negatives,fruit adapter pool item has leaf-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_leaf_negatives/brown_spot_leaf/z_m_Outlier-20260503T132613Z-3-001/121.jpg,,
semantic_slice_00069,semantic_slice_suspicion,review,oe,oe/same_crop_leaf_negatives/brown_spot_leaf/z_m_Outlier-20260503T132613Z-3-001/125.jpg,,,same_crop_leaf_negatives,fruit adapter pool item has leaf-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_leaf_negatives/brown_spot_leaf/z_m_Outlier-20260503T132613Z-3-001/125.jpg,,
semantic_slice_00070,semantic_slice_suspicion,review,oe,oe/same_crop_leaf_negatives/brown_spot_leaf/z_m_Outlier-20260503T132613Z-3-001/126.jpg,,,same_crop_leaf_negatives,fruit adapter pool item has leaf-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_leaf_negatives/brown_spot_leaf/z_m_Outlier-20260503T132613Z-3-001/126.jpg,,
