issue_id,issue_type,severity,role_a,path_a,role_b,path_b,score,reason,suggested_action,target_path,decision,notes
near_duplicate_00001,near_duplicate_perceptual_hash,review,ood,ood/off_crop_or_root_disease/off_crop_or_root_disease__161.jpg,oe,oe/unsupported_leaf_disease_candidates/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/157.jpg,4,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_leaf_disease_candidates/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/157.jpg,,
near_duplicate_00002,near_duplicate_perceptual_hash,review,ood,ood/off_crop_or_root_disease/off_crop_or_root_disease__161.jpg,oe,oe/unsupported_leaf_disease_candidates/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/165.jpg,3,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_leaf_disease_candidates/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/165.jpg,,
near_duplicate_00003,near_duplicate_perceptual_hash,review,ood,ood/off_crop_or_root_disease/off_crop_or_root_disease__177.jpg,oe,oe/unsupported_leaf_disease_candidates/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/173.jpg,5,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_leaf_disease_candidates/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/173.jpg,,
near_duplicate_00004,near_duplicate_perceptual_hash,review,ood,ood/off_crop_or_root_disease/off_crop_or_root_disease__177.jpg,oe,oe/unsupported_leaf_disease_candidates/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/181.jpg,2,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_leaf_disease_candidates/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/181.jpg,,
near_duplicate_00005,near_duplicate_perceptual_hash,review,ood,ood/off_crop_or_root_disease/off_crop_or_root_disease__193.jpg,oe,oe/unsupported_leaf_disease_candidates/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/197.jpg,3,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_leaf_disease_candidates/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/197.jpg,,
near_duplicate_00006,near_duplicate_perceptual_hash,review,ood,ood/off_crop_or_root_disease/off_crop_or_root_disease__257_1_.jpg,oe,oe/unsupported_leaf_disease_candidates/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/261.jpg,4,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_leaf_disease_candidates/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/261.jpg,,
near_duplicate_00007,near_duplicate_perceptual_hash,review,ood,ood/off_crop_or_root_disease/off_crop_or_root_disease__273_1_.jpg,oe,oe/unsupported_leaf_disease_candidates/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/277.jpg,5,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_leaf_disease_candidates/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/277.jpg,,
near_duplicate_00008,near_duplicate_perceptual_hash,review,ood,ood/off_crop_or_root_disease/off_crop_or_root_disease__65.jpg,oe,oe/unsupported_leaf_disease_candidates/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/61.jpg,5,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_leaf_disease_candidates/mites_leaf/z_m_Outlier-20260503T132613Z-3-001/61.jpg,,
semantic_slice_00025,semantic_slice_suspicion,review,oe,oe/same_crop_fruit_negatives/powdery_mildew_fruit/internet_20260506_wikimedia_uncinula_necator_on_grapes.jpg,,,same_crop_fruit_negatives,leaf adapter pool item has fruit-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_fruit_negatives/powdery_mildew_fruit/internet_20260506_wikimedia_uncinula_necator_on_grapes.jpg,,
semantic_slice_00001,semantic_slice_suspicion,review,ood,ood/grape_specific_unknowns/internet_20260509_plantdoc_train_grape_leaf_black_rot_072109_20Hartman_20Grape_20black_20rot-fruit_20_20lvs.JPG.jpg.jpg,,,grape_specific_unknowns,leaf adapter pool item has fruit-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,ood/grape_specific_unknowns/internet_20260509_plantdoc_train_grape_leaf_black_rot_072109_20Hartman_20Grape_20black_20rot-fruit_20_20lvs.JPG.jpg.jpg,,
