issue_id,issue_type,severity,role_a,path_a,role_b,path_b,score,reason,suggested_action,target_path,decision,notes
near_duplicate_00001,near_duplicate_perceptual_hash,review,continual,continual/domates_late_blight_meyve/Kaggle_train_buck8_jpg.rf.450d58dd89298cb2f9897a4a17eef538.jpg,ood,ood/unsupported_same_crop/unsupported_same_crop__buckeye-rot-of-tomato-1-original.jpg,4,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,ood/unsupported_same_crop/unsupported_same_crop__buckeye-rot-of-tomato-1-original.jpg,,
near_duplicate_00003,near_duplicate_perceptual_hash,review,ood,ood/fruit_failure_cases/rebalanced_20260510_oe_to_ood_fruit_failure_unsupported_same_crop__Kaggle_test_Fruit_Cracking_10-Copy_jpg_rf_82762420242898e58a525d405b7ab769.jpg,oe,oe/same_crop_disease_negatives/unsupported_fruit_cracking/unsupported_same_crop__Kaggle_valid_Fruit_Cracking21_jpg_rf_4113b7765f90f22cf162071498d0d257.jpg,2,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/same_crop_disease_negatives/unsupported_fruit_cracking/unsupported_same_crop__Kaggle_valid_Fruit_Cracking21_jpg_rf_4113b7765f90f22cf162071498d0d257.jpg,,
near_duplicate_00004,near_duplicate_perceptual_hash,review,ood,ood/fruit_failure_cases/rebalanced_20260510_oe_to_ood_fruit_failure_unsupported_same_crop__Kaggle_test_Fruit_Cracking_6_jpg_rf_5c5ec89fe4635bc190cb1509ab98e89c.jpg,oe,oe/same_crop_disease_negatives/unsupported_fruit_cracking/unsupported_same_crop__Kaggle_valid_Fruit_Cracking17-Copy_jpg_rf_c3283fc1d79c97a46cdbe58dcc991026.jpg,0,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/same_crop_disease_negatives/unsupported_fruit_cracking/unsupported_same_crop__Kaggle_valid_Fruit_Cracking17-Copy_jpg_rf_c3283fc1d79c97a46cdbe58dcc991026.jpg,,
near_duplicate_00005,near_duplicate_perceptual_hash,review,ood,ood/fruit_failure_cases/rebalanced_20260510_oe_to_ood_fruit_failure_unsupported_same_crop__Kaggle_train_Fruit_Cracking28_jpg_rf_28d0312ddde2473c8493b478d281d053.jpg,oe,oe/same_crop_disease_negatives/unsupported_fruit_cracking/unsupported_same_crop__Kaggle_train_Fruit_Cracking7_jpg_rf_80af976c71f532dc4a61da125fc90fa0.jpg,0,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/same_crop_disease_negatives/unsupported_fruit_cracking/unsupported_same_crop__Kaggle_train_Fruit_Cracking7_jpg_rf_80af976c71f532dc4a61da125fc90fa0.jpg,,
near_duplicate_00006,near_duplicate_perceptual_hash,review,ood,ood/unsupported_same_crop/rebalanced_20260510_oe_to_ood_fruit_unknown_unsupported_same_crop__image_0234.png,oe,oe/same_crop_disease_negatives/unsupported_fruit_target_spot/unsupported_same_crop__image_0305.png,5,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/same_crop_disease_negatives/unsupported_fruit_target_spot/unsupported_same_crop__image_0305.png,,
near_duplicate_00007,near_duplicate_perceptual_hash,review,ood,ood/unsupported_same_crop/web_unsupported_same_crop_ba90b4bad461.jpg,oe,oe/same_crop_disease_negatives/unsupported_fruit_cracking/unsupported_same_crop__Kaggle_train_Fruit_Cracking_2-Copy_png_rf_3047c5bb155847c668c2fa14090c9f9e.jpg,3,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/same_crop_disease_negatives/unsupported_fruit_cracking/unsupported_same_crop__Kaggle_train_Fruit_Cracking_2-Copy_png_rf_3047c5bb155847c668c2fa14090c9f9e.jpg,,
near_duplicate_00002,near_duplicate_perceptual_hash,review,val,val/domates_late_blight_meyve/Kaggle_train_buck8_jpg.rf.3ab65b9a9f0a33d8fe0354a0a72a58c1.jpg,ood,ood/unsupported_same_crop/unsupported_same_crop__buckeye-rot-of-tomato-1-original.jpg,0,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,ood/unsupported_same_crop/unsupported_same_crop__buckeye-rot-of-tomato-1-original.jpg,,
semantic_slice_00029,semantic_slice_suspicion,review,oe,oe/same_crop_disease_negatives/unsupported_leaf_bushy_stunt_virus/unsupported_same_crop__image_0001_domates_outlier_Domates_Çalımsı_Cücelik_Virüsü__Tomato_Bushy_Stunt_Virus_-_TBSV.png,,,same_crop_disease_negatives,fruit adapter pool item has leaf-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_disease_negatives/unsupported_leaf_bushy_stunt_virus/unsupported_same_crop__image_0001_domates_outlier_Domates_Çalımsı_Cücelik_Virüsü__Tomato_Bushy_Stunt_Virus_-_TBSV.png,,
semantic_slice_00030,semantic_slice_suspicion,review,oe,oe/same_crop_disease_negatives/unsupported_leaf_bushy_stunt_virus/unsupported_same_crop__image_0005.png,,,same_crop_disease_negatives,fruit adapter pool item has leaf-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_disease_negatives/unsupported_leaf_bushy_stunt_virus/unsupported_same_crop__image_0005.png,,
semantic_slice_00031,semantic_slice_suspicion,review,oe,oe/same_crop_disease_negatives/unsupported_leaf_bushy_stunt_virus/unsupported_same_crop__image_0008.png,,,same_crop_disease_negatives,fruit adapter pool item has leaf-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_disease_negatives/unsupported_leaf_bushy_stunt_virus/unsupported_same_crop__image_0008.png,,
