issue_id,issue_type,severity,role_a,path_a,role_b,path_b,score,reason,suggested_action,target_path,decision,notes
near_duplicate_00001,near_duplicate_perceptual_hash,review,ood,ood/same_crop_unsupported_unknowns/takviye_20260514_123_811cafee8208.jpeg,oe,oe/unsupported_leaf_disease_candidates/takviye_20260514_123_9b7ad7e82bca.jpg,0,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_leaf_disease_candidates/takviye_20260514_123_9b7ad7e82bca.jpg,,
near_duplicate_00002,near_duplicate_perceptual_hash,review,ood,ood/same_crop_unsupported_unknowns/takviye_20260514_139_21f7e8033689.jpeg,oe,oe/unsupported_leaf_disease_candidates/takviye_20260514_67_269b13bb2f50.jpg,0,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_leaf_disease_candidates/takviye_20260514_67_269b13bb2f50.jpg,,
near_duplicate_00003,near_duplicate_perceptual_hash,review,ood,ood/same_crop_unsupported_unknowns/takviye_20260514_25_abc2147ec6be.jpg,oe,oe/unsupported_leaf_disease_candidates/takviye_20260514_21_67add931afff.jpeg,0,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_leaf_disease_candidates/takviye_20260514_21_67add931afff.jpeg,,
near_duplicate_00004,near_duplicate_perceptual_hash,review,ood,ood/same_crop_unsupported_unknowns/takviye_20260514_30_825e16f1fd52.jpeg,oe,oe/unsupported_leaf_disease_candidates/takviye_20260514_22_a62a761dfc67.jpg,0,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_leaf_disease_candidates/takviye_20260514_22_a62a761dfc67.jpg,,
near_duplicate_00005,near_duplicate_perceptual_hash,review,ood,ood/same_crop_unsupported_unknowns/takviye_20260514_39_7401b27a2d2f.jpeg,oe,oe/unsupported_leaf_disease_candidates/takviye_20260514_40_7dcc0492d395.jpeg,1,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_leaf_disease_candidates/takviye_20260514_40_7dcc0492d395.jpeg,,
near_duplicate_00006,near_duplicate_perceptual_hash,review,ood,ood/same_crop_unsupported_unknowns/takviye_20260514_77_a605e1e909a3.jpeg,oe,oe/unsupported_leaf_disease_candidates/takviye_20260514_117_54161c941b21.jpg,0,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_leaf_disease_candidates/takviye_20260514_117_54161c941b21.jpg,,
near_duplicate_00007,near_duplicate_perceptual_hash,review,ood,ood/same_crop_unsupported_unknowns/takviye_20260514_89_cf1d3d028ed0.jpeg,oe,oe/unsupported_leaf_disease_candidates/takviye_20260514_109_201bc94a40d4.jpg,0,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_leaf_disease_candidates/takviye_20260514_109_201bc94a40d4.jpg,,
near_duplicate_00008,near_duplicate_perceptual_hash,review,ood,ood/same_crop_unsupported_unknowns/takviye_20260514_93_c2c718442dea.jpg,oe,oe/unsupported_leaf_disease_candidates/takviye_20260514_105_5802ebdc7732.jpeg,0,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_leaf_disease_candidates/takviye_20260514_105_5802ebdc7732.jpeg,,
semantic_slice_00009,semantic_slice_suspicion,review,ood,ood/non_plant_misc/New folder (2)_kayisi_11.jpg,,,non_plant_misc,non-plant slice has plant/crop-like path tokens,review visually; fix slice folder only when the reviewer confirms mismatch,ood/non_plant_misc/New folder (2)_kayisi_11.jpg,,
semantic_slice_00001,semantic_slice_suspicion,review,ood,ood/non_plant_misc/images (20).jpg,,,non_plant_misc,non-plant slice has plant/crop-like path tokens,review visually; fix slice folder only when the reviewer confirms mismatch,ood/non_plant_misc/images (20).jpg,,
