issue_id,issue_type,severity,role_a,path_a,role_b,path_b,score,reason,suggested_action,target_path,decision,notes
near_duplicate_00001,near_duplicate_perceptual_hash,review,continual,continual/kayısıda_yaprak_delen_çil_hastalığı_meyve_128/Kayısıda yaprak delen çil 103.JPG,ood,ood/same_crop_unsupported_unknowns/Ekran görüntüsü 2026-05-04 125712.png,2,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,ood/same_crop_unsupported_unknowns/Ekran görüntüsü 2026-05-04 125712.png,,
near_duplicate_00003,near_duplicate_perceptual_hash,review,val,val/kayısıda_şeftali_karalekesi_meyve_232/Şeftali Karalekesi 9.JPG,ood,ood/same_crop_unsupported_unknowns/Ekran görüntüsü 2026-05-04 125548.png,6,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,ood/same_crop_unsupported_unknowns/Ekran görüntüsü 2026-05-04 125548.png,,
near_duplicate_00002,near_duplicate_perceptual_hash,review,val,val/kayısıda_şeftali_karalekesi_meyve_232/peach_scab_Bing_0000.jpg,ood,ood/same_crop_unsupported_unknowns/Ekran görüntüsü 2026-05-04 125548.png,2,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,ood/same_crop_unsupported_unknowns/Ekran görüntüsü 2026-05-04 125548.png,,
semantic_slice_00032,semantic_slice_suspicion,review,oe,oe/near_id_fruit_disease_and_mixed_background/takviye_20260514_grape_leaf_spot_26_4b689a5d2644.jpg,,,near_id_fruit_disease_and_mixed_background,fruit adapter pool item has leaf-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/near_id_fruit_disease_and_mixed_background/takviye_20260514_grape_leaf_spot_26_4b689a5d2644.jpg,,
semantic_slice_00033,semantic_slice_suspicion,review,oe,oe/near_id_fruit_disease_and_mixed_background/takviye_20260514_grape_leaf_spot_google_0002_b8b9437330eb.jpg,,,near_id_fruit_disease_and_mixed_background,fruit adapter pool item has leaf-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/near_id_fruit_disease_and_mixed_background/takviye_20260514_grape_leaf_spot_google_0002_b8b9437330eb.jpg,,
semantic_slice_00034,semantic_slice_suspicion,review,oe,oe/near_id_fruit_disease_and_mixed_background/takviye_20260514_grape_leaf_spot_google_0016_bfa6ebd48c83.jpg,,,near_id_fruit_disease_and_mixed_background,fruit adapter pool item has leaf-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/near_id_fruit_disease_and_mixed_background/takviye_20260514_grape_leaf_spot_google_0016_bfa6ebd48c83.jpg,,
semantic_slice_00001,semantic_slice_suspicion,review,ood,ood/non_plant_misc/3.03.2021-kayisi-hastaliklara-yenik-dusmesin.jpg,,,non_plant_misc,non-plant slice has plant/crop-like path tokens,review visually; fix slice folder only when the reviewer confirms mismatch,ood/non_plant_misc/3.03.2021-kayisi-hastaliklara-yenik-dusmesin.jpg,,
semantic_slice_00002,semantic_slice_suspicion,review,ood,ood/non_plant_misc/650x344-kayisinin-faydalari-nelerdir-ne-ise-yarar-kayisi-cilde-faydali-mi-1590842163679.webp,,,non_plant_misc,non-plant slice has plant/crop-like path tokens,review visually; fix slice folder only when the reviewer confirms mismatch,ood/non_plant_misc/650x344-kayisinin-faydalari-nelerdir-ne-ise-yarar-kayisi-cilde-faydali-mi-1590842163679.webp,,
semantic_slice_00003,semantic_slice_suspicion,review,ood,ood/non_plant_misc/akdeniz-perfect-red-kayisi-fidani.png,,,non_plant_misc,non-plant slice has plant/crop-like path tokens,review visually; fix slice folder only when the reviewer confirms mismatch,ood/non_plant_misc/akdeniz-perfect-red-kayisi-fidani.png,,
semantic_slice_00004,semantic_slice_suspicion,review,ood,ood/non_plant_misc/hakmar-yaz-meyvesi-kayisi-hakkinda-neler-biliyorsunuz-960x720-1.jpg,,,non_plant_misc,non-plant slice has plant/crop-like path tokens,review visually; fix slice folder only when the reviewer confirms mismatch,ood/non_plant_misc/hakmar-yaz-meyvesi-kayisi-hakkinda-neler-biliyorsunuz-960x720-1.jpg,,
