image_id,source,expected_target,expected_crop,expected_part,expected_class,expected_behavior,notes,original_source,resolved_source_path,disease_class,user_like_bucket
demo_001,staged_external:docs/demo_assets/m2_full_image_set/images/demo_001_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_antraknoz_meyve,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=domates_antraknoz_meyve,data\prepared_runtime_datasets\tomato__fruit\test\domates_antraknoz_meyve\Kaggle_test_anthracnose_18_png.rf.207289ef35095182cc6da2f98636f8df.jpg,docs/demo_assets/m2_full_image_set/images/demo_001_tomato_fruit.jpg,domates_antraknoz_meyve,clear
demo_002,staged_external:docs/demo_assets/m2_full_image_set/images/demo_002_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_antraknoz_meyve,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=domates_antraknoz_meyve,data\prepared_runtime_datasets\tomato__fruit\test\domates_antraknoz_meyve\Kaggle_train_anthracnose_10_zoom_2_png.rf.f80b2011ed96c63958f39b7c1358467a.jpg,docs/demo_assets/m2_full_image_set/images/demo_002_tomato_fruit.jpg,domates_antraknoz_meyve,clear
demo_003,staged_external:docs/demo_assets/m2_full_image_set/images/demo_003_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_antraknoz_meyve,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=domates_antraknoz_meyve,data\prepared_runtime_datasets\tomato__fruit\test\domates_antraknoz_meyve\Kaggle_train_anthracnose_12-Copy_png.rf.d8e8dba62cee137482d1172513315a20.jpg,docs/demo_assets/m2_full_image_set/images/demo_003_tomato_fruit.jpg,domates_antraknoz_meyve,clear
demo_004,staged_external:docs/demo_assets/m2_full_image_set/images/demo_004_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_antraknoz_meyve,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=domates_antraknoz_meyve,data\prepared_runtime_datasets\tomato__fruit\test\domates_antraknoz_meyve\Kaggle_train_anthracnose_16_zoom_3_png.rf.8d5c2d6258a8360cbeebebadb1765baf.jpg,docs/demo_assets/m2_full_image_set/images/demo_004_tomato_fruit.jpg,domates_antraknoz_meyve,clear
demo_005,staged_external:docs/demo_assets/m2_full_image_set/images/demo_005_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=domates_bacterial_spot_and_speck_yaprak,data\prepared_runtime_datasets\tomato__leaf\test\domates_bacterial_spot_and_speck_yaprak\IMG_3643__02d.jpg,docs/demo_assets/m2_full_image_set/images/demo_005_tomato_leaf.jpg,domates_bacterial_spot_and_speck_yaprak,clear
demo_006,staged_external:docs/demo_assets/m2_full_image_set/images/demo_006_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=domates_bacterial_spot_and_speck_yaprak,data\prepared_runtime_datasets\tomato__leaf\test\domates_bacterial_spot_and_speck_yaprak\Kaggle_b-speck_jpg.rf.d717c6292e301d47136f6947a81c9f7e.jpg,docs/demo_assets/m2_full_image_set/images/demo_006_tomato_leaf.jpg,domates_bacterial_spot_and_speck_yaprak,clear
demo_007,staged_external:docs/demo_assets/m2_full_image_set/images/demo_007_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=domates_bacterial_spot_and_speck_yaprak,data\prepared_runtime_datasets\tomato__leaf\test\domates_bacterial_spot_and_speck_yaprak\Kaggle_bac_spot_tomato_leaf_l_jpg.rf.83720325ced4455d2839833bf748fe97.jpg,docs/demo_assets/m2_full_image_set/images/demo_007_tomato_leaf.jpg,domates_bacterial_spot_and_speck_yaprak,clear
demo_008,staged_external:docs/demo_assets/m2_full_image_set/images/demo_008_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,known supported target; disease answer or review expected,user-like M2 curated set; bucket=difficult; source_split=test; source_class=domates_bacterial_spot_and_speck_yaprak,data\prepared_runtime_datasets\tomato__leaf\test\domates_bacterial_spot_and_speck_yaprak\Kaggle_Bacterial-leaf-spot-transplants1_jpg.rf.a40f1a1c52549e0421138b9e11ec5f49.jpg,docs/demo_assets/m2_full_image_set/images/demo_008_tomato_leaf.jpg,domates_bacterial_spot_and_speck_yaprak,difficult
demo_009,staged_external:docs/demo_assets/m2_full_image_set/images/demo_009_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_anthracnose_fruit,known supported target; disease answer or review expected,user-like M2 curated set; bucket=difficult; source_split=test; source_class=strawberry_anthracnose_fruit,data\prepared_runtime_datasets\strawberry__fruit\test\strawberry_anthracnose_fruit\anthracnose_fruit_rot105.jpg,docs/demo_assets/m2_full_image_set/images/demo_009_strawberry_fruit.jpg,strawberry_anthracnose_fruit,difficult
demo_010,staged_external:docs/demo_assets/m2_full_image_set/images/demo_010_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_anthracnose_fruit,known supported target; disease answer or review expected,user-like M2 curated set; bucket=borderline; source_split=test; source_class=strawberry_anthracnose_fruit,data\prepared_runtime_datasets\strawberry__fruit\test\strawberry_anthracnose_fruit\anthracnose_fruit_rot_28.jpg,docs/demo_assets/m2_full_image_set/images/demo_010_strawberry_fruit.jpg,strawberry_anthracnose_fruit,borderline
demo_011,staged_external:docs/demo_assets/m2_full_image_set/images/demo_011_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_anthracnose_fruit,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=strawberry_anthracnose_fruit,data\prepared_runtime_datasets\strawberry__fruit\test\strawberry_anthracnose_fruit\anthracnose_fruit_rot_32.jpg,docs/demo_assets/m2_full_image_set/images/demo_011_strawberry_fruit.jpg,strawberry_anthracnose_fruit,clear
demo_012,staged_external:docs/demo_assets/m2_full_image_set/images/demo_012_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_anthracnose_fruit,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=strawberry_anthracnose_fruit,data\prepared_runtime_datasets\strawberry__fruit\test\strawberry_anthracnose_fruit\anthracnose_fruit_rot_38.jpg,docs/demo_assets/m2_full_image_set/images/demo_012_strawberry_fruit.jpg,strawberry_anthracnose_fruit,clear
demo_013,staged_external:docs/demo_assets/m2_full_image_set/images/demo_013_strawberry_leaf.jpg,strawberry__leaf,strawberry,leaf,strawberry_leaf_scorch_leaf,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=strawberry_leaf_scorch_leaf,data\prepared_runtime_datasets\strawberry__leaf\test\strawberry_leaf_scorch_leaf\Strawberry___Leaf_scorch_100.jpg,docs/demo_assets/m2_full_image_set/images/demo_013_strawberry_leaf.jpg,strawberry_leaf_scorch_leaf,clear
demo_014,staged_external:docs/demo_assets/m2_full_image_set/images/demo_014_strawberry_leaf.jpg,strawberry__leaf,strawberry,leaf,strawberry_leaf_scorch_leaf,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=strawberry_leaf_scorch_leaf,data\prepared_runtime_datasets\strawberry__leaf\test\strawberry_leaf_scorch_leaf\Strawberry___Leaf_scorch_396.jpg,docs/demo_assets/m2_full_image_set/images/demo_014_strawberry_leaf.jpg,strawberry_leaf_scorch_leaf,clear
demo_015,staged_external:docs/demo_assets/m2_full_image_set/images/demo_015_strawberry_leaf.jpg,strawberry__leaf,strawberry,leaf,strawberry_leaf_scorch_leaf,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=strawberry_leaf_scorch_leaf,data\prepared_runtime_datasets\strawberry__leaf\test\strawberry_leaf_scorch_leaf\Strawberry___Leaf_scorch_399.jpg,docs/demo_assets/m2_full_image_set/images/demo_015_strawberry_leaf.jpg,strawberry_leaf_scorch_leaf,clear
demo_016,staged_external:docs/demo_assets/m2_full_image_set/images/demo_016_strawberry_leaf.jpg,strawberry__leaf,strawberry,leaf,strawberry_leaf_scorch_leaf,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=strawberry_leaf_scorch_leaf,data\prepared_runtime_datasets\strawberry__leaf\test\strawberry_leaf_scorch_leaf\Strawberry___Leaf_scorch_400.jpg,docs/demo_assets/m2_full_image_set/images/demo_016_strawberry_leaf.jpg,strawberry_leaf_scorch_leaf,clear
demo_017,staged_external:docs/demo_assets/m2_full_image_set/images/demo_017_grape_fruit.jpg,grape__fruit,grape,fruit,üzüm_antraknoz_meyve,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=üzüm_antraknoz_meyve,data\prepared_runtime_datasets\grape__fruit\test\üzüm_antraknoz_meyve\Bağ antraknozu 271.JPG,docs/demo_assets/m2_full_image_set/images/demo_017_grape_fruit.jpg,üzüm_antraknoz_meyve,clear
