issue_id,issue_type,severity,role_a,path_a,role_b,path_b,score,reason,suggested_action,target_path,decision,notes
near_duplicate_00001,near_duplicate_perceptual_hash,review,ood,ood/off_crop_secondary/off_crop_secondary__angular_leafspot_69.jpg,oe,oe/unsupported_same_crop_non_fruit_or_unknown/angular_leafspot/ilek_Outlier-20260503T132606Z-3-002/angular_leafspot_332.jpg,6,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_same_crop_non_fruit_or_unknown/angular_leafspot/ilek_Outlier-20260503T132606Z-3-002/angular_leafspot_332.jpg,,
near_duplicate_00002,near_duplicate_perceptual_hash,review,ood,ood/off_crop_secondary/off_crop_secondary__blossom_blight_49.jpg,oe,oe/unsupported_same_crop_non_fruit_or_unknown/blossom_blight/ilek_Outlier-20260503T132606Z-3-001/blossom_blight_109.jpg,0,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_same_crop_non_fruit_or_unknown/blossom_blight/ilek_Outlier-20260503T132606Z-3-001/blossom_blight_109.jpg,,
near_duplicate_00003,near_duplicate_perceptual_hash,review,ood,ood/off_crop_secondary/off_crop_secondary__blossom_blight_49.jpg,oe,oe/unsupported_same_crop_non_fruit_or_unknown/blossom_blight/ilek_Outlier-20260503T132606Z-3-001/blossom_blight_121.jpg,4,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_same_crop_non_fruit_or_unknown/blossom_blight/ilek_Outlier-20260503T132606Z-3-001/blossom_blight_121.jpg,,
near_duplicate_00004,near_duplicate_perceptual_hash,review,ood,ood/off_crop_secondary/off_crop_secondary__blossom_blight_49.jpg,oe,oe/unsupported_same_crop_non_fruit_or_unknown/blossom_blight/ilek_Outlier-20260503T132606Z-3-001/blossom_blight_134.jpg,1,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_same_crop_non_fruit_or_unknown/blossom_blight/ilek_Outlier-20260503T132606Z-3-001/blossom_blight_134.jpg,,
near_duplicate_00005,near_duplicate_perceptual_hash,review,ood,ood/off_crop_secondary/off_crop_secondary__blossom_blight_49.jpg,oe,oe/unsupported_same_crop_non_fruit_or_unknown/blossom_blight/ilek_Outlier-20260503T132606Z-3-001/blossom_blight_139.jpg,3,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_same_crop_non_fruit_or_unknown/blossom_blight/ilek_Outlier-20260503T132606Z-3-001/blossom_blight_139.jpg,,
near_duplicate_00006,near_duplicate_perceptual_hash,review,ood,ood/off_crop_secondary/off_crop_secondary__blossom_blight_49.jpg,oe,oe/unsupported_same_crop_non_fruit_or_unknown/blossom_blight/ilek_Outlier-20260503T132606Z-3-001/blossom_blight_151.jpg,1,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_same_crop_non_fruit_or_unknown/blossom_blight/ilek_Outlier-20260503T132606Z-3-001/blossom_blight_151.jpg,,
near_duplicate_00007,near_duplicate_perceptual_hash,review,ood,ood/same_crop_unsupported_unknowns/rebalanced_20260510_oe_to_ood_strawberry_unknown_angular_leafspot_107.jpg,oe,oe/unsupported_same_crop_non_fruit_or_unknown/angular_leafspot/ilek_Outlier-20260503T132606Z-3-002/angular_leafspot_200.jpg,0,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_same_crop_non_fruit_or_unknown/angular_leafspot/ilek_Outlier-20260503T132606Z-3-002/angular_leafspot_200.jpg,,
near_duplicate_00008,near_duplicate_perceptual_hash,review,ood,ood/same_crop_unsupported_unknowns/rebalanced_20260510_oe_to_ood_strawberry_unknown_angular_leafspot_112.jpg,oe,oe/unsupported_same_crop_non_fruit_or_unknown/angular_leafspot/ilek_Outlier-20260503T132606Z-3-001/angular_leafspot_94.jpg,0,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_same_crop_non_fruit_or_unknown/angular_leafspot/ilek_Outlier-20260503T132606Z-3-001/angular_leafspot_94.jpg,,
near_duplicate_00009,near_duplicate_perceptual_hash,review,ood,ood/same_crop_unsupported_unknowns/rebalanced_20260510_oe_to_ood_strawberry_unknown_angular_leafspot_124.jpg,oe,oe/unsupported_same_crop_non_fruit_or_unknown/angular_leafspot/ilek_Outlier-20260503T132606Z-3-002/angular_leafspot_196.jpg,0,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_same_crop_non_fruit_or_unknown/angular_leafspot/ilek_Outlier-20260503T132606Z-3-002/angular_leafspot_196.jpg,,
near_duplicate_00010,near_duplicate_perceptual_hash,review,ood,ood/same_crop_unsupported_unknowns/rebalanced_20260510_oe_to_ood_strawberry_unknown_angular_leafspot_133.jpg,oe,oe/unsupported_same_crop_non_fruit_or_unknown/angular_leafspot/ilek_Outlier-20260503T132606Z-3-002/angular_leafspot_137.jpg,1,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/unsupported_same_crop_non_fruit_or_unknown/angular_leafspot/ilek_Outlier-20260503T132606Z-3-002/angular_leafspot_137.jpg,,
