issue_id,issue_type,severity,role_a,path_a,role_b,path_b,score,reason,suggested_action,target_path,decision,notes
near_duplicate_00001,near_duplicate_perceptual_hash,review,ood,ood/off_crop_secondary/off_crop_secondary__blossom_blight_49.jpg,oe,oe/same_crop_blossom_negatives/blossom_blight/ilek_Outlier-20260503T132606Z-3-001/blossom_blight_109.jpg,0,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/same_crop_blossom_negatives/blossom_blight/ilek_Outlier-20260503T132606Z-3-001/blossom_blight_109.jpg,,
near_duplicate_00002,near_duplicate_perceptual_hash,review,ood,ood/off_crop_secondary/off_crop_secondary__blossom_blight_49.jpg,oe,oe/same_crop_blossom_negatives/blossom_blight/ilek_Outlier-20260503T132606Z-3-001/blossom_blight_121.jpg,4,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/same_crop_blossom_negatives/blossom_blight/ilek_Outlier-20260503T132606Z-3-001/blossom_blight_121.jpg,,
near_duplicate_00003,near_duplicate_perceptual_hash,review,ood,ood/off_crop_secondary/off_crop_secondary__blossom_blight_49.jpg,oe,oe/same_crop_blossom_negatives/blossom_blight/ilek_Outlier-20260503T132606Z-3-001/blossom_blight_134.jpg,1,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/same_crop_blossom_negatives/blossom_blight/ilek_Outlier-20260503T132606Z-3-001/blossom_blight_134.jpg,,
near_duplicate_00004,near_duplicate_perceptual_hash,review,ood,ood/off_crop_secondary/off_crop_secondary__blossom_blight_49.jpg,oe,oe/same_crop_blossom_negatives/blossom_blight/ilek_Outlier-20260503T132606Z-3-001/blossom_blight_139.jpg,3,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/same_crop_blossom_negatives/blossom_blight/ilek_Outlier-20260503T132606Z-3-001/blossom_blight_139.jpg,,
near_duplicate_00005,near_duplicate_perceptual_hash,review,ood,ood/off_crop_secondary/off_crop_secondary__blossom_blight_49.jpg,oe,oe/same_crop_blossom_negatives/blossom_blight/ilek_Outlier-20260503T132606Z-3-001/blossom_blight_151.jpg,1,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/same_crop_blossom_negatives/blossom_blight/ilek_Outlier-20260503T132606Z-3-001/blossom_blight_151.jpg,,
semantic_slice_00007,semantic_slice_suspicion,review,oe,oe/same_crop_fruit_negatives/anthracnose_fruit/internet_20260506_bugwood_1572815_strawberry_anthracnose_fruit.jpg,,,same_crop_fruit_negatives,leaf adapter pool item has fruit-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_fruit_negatives/anthracnose_fruit/internet_20260506_bugwood_1572815_strawberry_anthracnose_fruit.jpg,,
semantic_slice_00008,semantic_slice_suspicion,review,oe,oe/same_crop_fruit_negatives/anthracnose_fruit/internet_20260506_bugwood_1572819_strawberry_anthracnose_fruit.jpg,,,same_crop_fruit_negatives,leaf adapter pool item has fruit-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_fruit_negatives/anthracnose_fruit/internet_20260506_bugwood_1572819_strawberry_anthracnose_fruit.jpg,,
semantic_slice_00009,semantic_slice_suspicion,review,oe,oe/same_crop_fruit_negatives/anthracnose_fruit/internet_20260506_bugwood_1572820_strawberry_anthracnose_fruit.jpg,,,same_crop_fruit_negatives,leaf adapter pool item has fruit-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_fruit_negatives/anthracnose_fruit/internet_20260506_bugwood_1572820_strawberry_anthracnose_fruit.jpg,,
semantic_slice_00010,semantic_slice_suspicion,review,oe,oe/same_crop_fruit_negatives/fruit_rot/internet_20260506_wikimedia_strawberry_fruit_rot.jpg,,,same_crop_fruit_negatives,leaf adapter pool item has fruit-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_fruit_negatives/fruit_rot/internet_20260506_wikimedia_strawberry_fruit_rot.jpg,,
semantic_slice_00011,semantic_slice_suspicion,review,oe,oe/same_crop_fruit_negatives/powdery_mildew_fruit/internet_20260506_bugwood_5631933_strawberry_powdery_mildew.jpg,,,same_crop_fruit_negatives,leaf adapter pool item has fruit-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_fruit_negatives/powdery_mildew_fruit/internet_20260506_bugwood_5631933_strawberry_powdery_mildew.jpg,,
semantic_slice_00012,semantic_slice_suspicion,review,oe,oe/same_crop_fruit_negatives/powdery_mildew_fruit/internet_20260506_wikimedia_oidium_du_fraisier.jpg,,,same_crop_fruit_negatives,leaf adapter pool item has fruit-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_fruit_negatives/powdery_mildew_fruit/internet_20260506_wikimedia_oidium_du_fraisier.jpg,,
semantic_slice_00001,semantic_slice_suspicion,review,ood,ood/non_plant_misc/non_plant_misc__Bakteriyel_Kanser_ve_Zamklanma_1.jpg,,,non_plant_misc,non-plant slice has plant/crop-like path tokens,review visually; fix slice folder only when the reviewer confirms mismatch,ood/non_plant_misc/non_plant_misc__Bakteriyel_Kanser_ve_Zamklanma_1.jpg,,
semantic_slice_00003,semantic_slice_suspicion,review,ood,ood/non_plant_misc/non_plant_misc__Ekran_görüntüsü_2026-03-14_195623.png,,,non_plant_misc,non-plant slice has plant/crop-like path tokens,review visually; fix slice folder only when the reviewer confirms mismatch,ood/non_plant_misc/non_plant_misc__Ekran_görüntüsü_2026-03-14_195623.png,,
semantic_slice_00004,semantic_slice_suspicion,review,ood,ood/non_plant_misc/non_plant_misc__Ekran_görüntüsü_2026-03-15_143215.png,,,non_plant_misc,non-plant slice has plant/crop-like path tokens,review visually; fix slice folder only when the reviewer confirms mismatch,ood/non_plant_misc/non_plant_misc__Ekran_görüntüsü_2026-03-15_143215.png,,
semantic_slice_00002,semantic_slice_suspicion,review,ood,ood/non_plant_misc/non_plant_misc__depositphotos_390716206-stock-photo-gardening-concept-male-gardener-spraying.jpg,,,non_plant_misc,non-plant slice has plant/crop-like path tokens,review visually; fix slice folder only when the reviewer confirms mismatch,ood/non_plant_misc/non_plant_misc__depositphotos_390716206-stock-photo-gardening-concept-male-gardener-spraying.jpg,,
semantic_slice_00005,semantic_slice_suspicion,review,ood,ood/non_plant_misc/non_plant_misc__image-2-1.png,,,non_plant_misc,non-plant slice has plant/crop-like path tokens,review visually; fix slice folder only when the reviewer confirms mismatch,ood/non_plant_misc/non_plant_misc__image-2-1.png,,
semantic_slice_00006,semantic_slice_suspicion,review,ood,ood/other_crop_disease/internet_20260506_wikimedia_tomato_late_blight_fruit_rot.jpg,,,other_crop_disease,leaf adapter pool item has fruit-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,ood/other_crop_disease/internet_20260506_wikimedia_tomato_late_blight_fruit_rot.jpg,,
