issue_id,issue_type,severity,role_a,path_a,role_b,path_b,score,reason,suggested_action,target_path,decision,notes
near_duplicate_00001,near_duplicate_perceptual_hash,review,continual,continual/domates_early_blight_yaprak/image_0441.png,ood,ood/unsupported_tomato_unknowns/rebalanced_20260510_zip_leaf_unknown_image_0028_domates_outlier_Domates_al_ms_C_celik_Vir_s_Tomato_Bushy_Stunt_Virus_-_TBSV.png,6,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,ood/unsupported_tomato_unknowns/rebalanced_20260510_zip_leaf_unknown_image_0028_domates_outlier_Domates_al_ms_C_celik_Vir_s_Tomato_Bushy_Stunt_Virus_-_TBSV.png,,
near_duplicate_00003,near_duplicate_perceptual_hash,review,test,test/domates_early_blight_yaprak/image_0361.png,ood,ood/unsupported_tomato_unknowns/rebalanced_20260510_zip_leaf_unknown_image_0028_domates_outlier_Domates_al_ms_C_celik_Vir_s_Tomato_Bushy_Stunt_Virus_-_TBSV.png,6,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,ood/unsupported_tomato_unknowns/rebalanced_20260510_zip_leaf_unknown_image_0028_domates_outlier_Domates_al_ms_C_celik_Vir_s_Tomato_Bushy_Stunt_Virus_-_TBSV.png,,
near_duplicate_00004,near_duplicate_perceptual_hash,review,test,test/domates_early_blight_yaprak/image_0361.png,ood,ood/unsupported_tomato_unknowns/rebalanced_20260510_zip_leaf_unknown_image_0048_domates_outlier_Domates_al_ms_C_celik_Vir_s_Tomato_Bushy_Stunt_Virus_-_TBSV.png,4,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,ood/unsupported_tomato_unknowns/rebalanced_20260510_zip_leaf_unknown_image_0048_domates_outlier_Domates_al_ms_C_celik_Vir_s_Tomato_Bushy_Stunt_Virus_-_TBSV.png,,
near_duplicate_00005,near_duplicate_perceptual_hash,review,test,test/domates_early_blight_yaprak/image_0457.png,ood,ood/unsupported_tomato_unknowns/rebalanced_20260510_zip_leaf_unknown_image_0017_domates_outlier_Domates_al_ms_C_celik_Vir_s_Tomato_Bushy_Stunt_Virus_-_TBSV.png,5,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,ood/unsupported_tomato_unknowns/rebalanced_20260510_zip_leaf_unknown_image_0017_domates_outlier_Domates_al_ms_C_celik_Vir_s_Tomato_Bushy_Stunt_Virus_-_TBSV.png,,
near_duplicate_00006,near_duplicate_perceptual_hash,review,test,test/domates_septoria_leaf_spot_yaprak/tomato_242.jpg,ood,ood/off_crop_secondary/takviye_20260514_off_crop_secondary__tomato_230_91f2e0e5d3fc.jpg,0,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,ood/off_crop_secondary/takviye_20260514_off_crop_secondary__tomato_230_91f2e0e5d3fc.jpg,,
near_duplicate_00002,near_duplicate_perceptual_hash,review,val,val/domates_mosaic_virüs_yaprak/Kaggle_MV_ (694).jpg,oe,oe/same_crop_fruit_negatives/target_spot_fruit/Domates_Outlier-20260503T132553Z-3-001/image_0221.png,6,dHash Hamming distance <= 6,review visually; quarantine one copy if it is the same source image,oe/same_crop_fruit_negatives/target_spot_fruit/Domates_Outlier-20260503T132553Z-3-001/image_0221.png,,
semantic_slice_00010,semantic_slice_suspicion,review,oe,oe/same_crop_fruit_negatives/bacterial_canker_fruit/Domates_Outlier-20260503T132553Z-3-001/Ekran görüntüsü 2026-03-14 231247.png,,,same_crop_fruit_negatives,leaf adapter pool item has fruit-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_fruit_negatives/bacterial_canker_fruit/Domates_Outlier-20260503T132553Z-3-001/Ekran görüntüsü 2026-03-14 231247.png,,
semantic_slice_00011,semantic_slice_suspicion,review,oe,oe/same_crop_fruit_negatives/bacterial_canker_fruit/Domates_Outlier-20260503T132553Z-3-001/Ekran görüntüsü 2026-03-14 231309.png,,,same_crop_fruit_negatives,leaf adapter pool item has fruit-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_fruit_negatives/bacterial_canker_fruit/Domates_Outlier-20260503T132553Z-3-001/Ekran görüntüsü 2026-03-14 231309.png,,
semantic_slice_00012,semantic_slice_suspicion,review,oe,oe/same_crop_fruit_negatives/bacterial_canker_fruit/Domates_Outlier-20260503T132553Z-3-001/Ekran görüntüsü 2026-03-14 231323.png,,,same_crop_fruit_negatives,leaf adapter pool item has fruit-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_fruit_negatives/bacterial_canker_fruit/Domates_Outlier-20260503T132553Z-3-001/Ekran görüntüsü 2026-03-14 231323.png,,
semantic_slice_00013,semantic_slice_suspicion,review,oe,oe/same_crop_fruit_negatives/bacterial_canker_fruit/Domates_Outlier-20260503T132553Z-3-001/Ekran görüntüsü 2026-03-14 231343.png,,,same_crop_fruit_negatives,leaf adapter pool item has fruit-like path or slice tokens,review visually; fix slice folder only when the reviewer confirms mismatch,oe/same_crop_fruit_negatives/bacterial_canker_fruit/Domates_Outlier-20260503T132553Z-3-001/Ekran görüntüsü 2026-03-14 231343.png,,
